State,LGA,Payment,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24
Australian Capital Territory,Australian Capital Territory,Total Early Payment,"$25,112,275","$26,309,919","$27,458,262","$28,422,745","$28,475,710","$45,410,558","$68,445,630"
Australian Capital Territory,Australian Capital Territory,Total Financial Assistance Grant (inc Early Payment),"$51,021,719","$52,745,664","$54,143,193","$54,858,794","$57,908,724","$64,761,763","$71,474,638"
New South Wales,Albury City Council,Total Early Payment,"$3,073,843","$3,231,082","$3,257,907","$3,412,754","$3,347,894","$5,331,641","$7,679,418"
New South Wales,Albury City Council,Total Financial Assistance Grant (inc Early Payment),"$6,225,730","$6,373,237","$6,478,515","$6,539,923","$6,816,667","$7,185,000","$8,007,428"
New South Wales,Armidale Regional Council,Total Early Payment,"$3,125,224","$3,268,343","$3,471,546","$3,544,843","$3,570,367","$5,459,342","$8,207,066"
New South Wales,Armidale Regional Council,Total Financial Assistance Grant (inc Early Payment),"$6,298,462","$6,615,950","$6,815,469","$6,878,183","$7,120,369","$7,674,269","$8,640,551"
New South Wales,Ballina Shire Council,Total Early Payment,"$2,107,840","$2,220,654","$2,338,858","$2,417,841","$2,408,658","$3,873,748","$5,669,796"
New South Wales,Ballina Shire Council,Total Financial Assistance Grant (inc Early Payment),"$4,279,185","$4,476,114","$4,619,994","$4,666,984","$4,927,911","$5,301,929","$5,971,957"
New South Wales,Balranald Shire Council,Total Early Payment,"$1,870,657","$1,962,352","$2,092,135","$2,244,847","$2,290,600","$3,737,513","$5,497,453"
New South Wales,Balranald Shire Council,Total Financial Assistance Grant (inc Early Payment),"$3,781,545","$3,979,863","$4,210,048","$4,383,836","$4,721,429","$5,139,784","$5,872,881"
New South Wales,Bathurst Regional Council,Total Early Payment,"$3,059,719","$3,222,191","$3,259,062","$3,399,339","$3,338,837","$5,327,564","$7,753,470"
New South Wales,Bathurst Regional Council,Total Financial Assistance Grant (inc Early Payment),"$6,209,128","$6,365,039","$6,466,214","$6,517,048","$6,803,531","$7,251,421","$8,086,931"
New South Wales,Bayside Council,Total Early Payment,"$2,960,147","$2,273,150","$2,521,979","$2,436,776","$2,666,444","$3,946,335","$5,973,995"
New South Wales,Bayside Council,Total Financial Assistance Grant (inc Early Payment),"$4,380,118","$4,705,352","$4,821,452","$4,927,321","$5,233,798","$5,587,897","$6,143,364"
New South Wales,Bega Valley Shire Council,Total Early Payment,"$3,415,718","$3,535,287","$3,626,261","$3,786,716","$3,733,998","$6,141,913","$8,860,461"
New South Wales,Bega Valley Shire Council,Total Financial Assistance Grant (inc Early Payment),"$6,812,107","$7,032,366","$7,199,275","$7,273,997","$7,728,807","$8,286,534","$9,412,362"
New South Wales,Bellingen Shire Council,Total Early Payment,"$1,726,108","$1,826,779","$1,962,448","$2,023,857","$2,021,222","$3,319,608","$4,889,637"
New South Wales,Bellingen Shire Council,Total Financial Assistance Grant (inc Early Payment),"$3,520,024","$3,719,364","$3,872,207","$3,911,764","$4,180,895","$4,571,101","$5,192,887"
New South Wales,Berrigan Shire Council,Total Early Payment,"$2,197,554","$2,310,362","$2,478,380","$2,558,112","$2,571,387","$4,113,906","$6,066,542"
New South Wales,Berrigan Shire Council,Total Financial Assistance Grant (inc Early Payment),"$4,452,014","$4,700,415","$4,892,012","$4,959,439","$5,247,181","$5,672,696","$6,386,220"
New South Wales,Blacktown City Council,Total Early Payment,"$8,836,987","$8,561,419","$8,643,463","$8,670,005","$8,884,034","$13,477,598","$19,631,053"
New South Wales,Blacktown City Council,Total Financial Assistance Grant (inc Early Payment),"$16,493,326","$16,897,484","$16,825,585","$16,968,890","$17,653,043","$18,372,212","$20,121,992"
New South Wales,Bland Shire Council,Total Early Payment,"$3,575,399","$3,750,057","$3,890,531","$4,099,090","$4,107,116","$6,746,612","$9,758,657"
New South Wales,Bland Shire Council,Total Financial Assistance Grant (inc Early Payment),"$7,226,917","$7,501,613","$7,757,089","$7,933,362","$8,493,176","$9,125,378","$10,284,276"
New South Wales,Blayney Shire Council,Total Early Payment,"$1,229,306","$1,290,249","$1,395,898","$1,417,132","$1,451,745","$2,363,969","$3,460,854"
New South Wales,Blayney Shire Council,Total Financial Assistance Grant (inc Early Payment),"$2,486,349","$2,636,367","$2,732,895","$2,772,721","$2,989,214","$3,236,080","$3,662,775"
New South Wales,Blue Mountains City Council,Total Early Payment,"$4,280,346","$4,483,545","$4,485,068","$4,685,010","$4,543,428","$7,257,938","$10,384,727"
New South Wales,Blue Mountains City Council,Total Financial Assistance Grant (inc Early Payment),"$8,638,528","$8,809,289","$8,907,139","$8,930,057","$9,267,075","$9,718,195","$10,795,518"
New South Wales,Bogan Shire Council,Total Early Payment,"$1,899,415","$1,997,467","$2,139,652","$2,254,500","$2,318,903","$3,767,262","$5,563,766"
New South Wales,Bogan Shire Council,Total Financial Assistance Grant (inc Early Payment),"$3,849,305","$4,060,760","$4,266,501","$4,419,733","$4,768,772","$5,201,462","$5,951,240"
New South Wales,Bourke Shire Council,Total Early Payment,"$2,727,607","$2,861,321","$3,028,105","$3,279,065","$3,324,690","$5,495,913","$8,077,979"
New South Wales,Bourke Shire Council,Total Financial Assistance Grant (inc Early Payment),"$5,513,877","$5,781,422","$6,121,802","$6,383,724","$6,899,256","$7,551,419","$8,656,260"
New South Wales,Brewarrina Shire Council,Total Early Payment,"$1,827,512","$1,917,041","$2,064,163","$2,297,917","$2,349,583","$4,010,019","$5,883,768"
New South Wales,Brewarrina Shire Council,Total Financial Assistance Grant (inc Early Payment),"$3,694,240","$3,907,580","$4,232,216","$4,492,089","$4,957,898","$5,499,092","$6,396,206"
New South Wales,Burwood Council,Total Early Payment,"$499,827","$516,046","$586,531","$560,674","$606,623","$933,507","$1,404,888"
New South Wales,Burwood Council,Total Financial Assistance Grant (inc Early Payment),"$994,341","$1,081,699","$1,115,603","$1,127,278","$1,213,954","$1,313,690","$1,482,191"
New South Wales,Byron Shire Council,Total Early Payment,"$1,478,664","$1,537,814","$1,642,588","$1,704,286","$1,715,625","$2,789,011","$4,088,672"
New South Wales,Byron Shire Council,Total Financial Assistance Grant (inc Early Payment),"$2,963,548","$3,121,756","$3,250,245","$3,305,962","$3,528,978","$3,822,705","$4,266,131"
New South Wales,Cabonne Shire Council,Total Early Payment,"$2,299,507","$2,411,118","$2,570,822","$2,640,428","$2,653,543","$4,284,561","$6,296,711"
New South Wales,Cabonne Shire Council,Total Financial Assistance Grant (inc Early Payment),"$4,646,727","$4,890,053","$5,061,244","$5,117,402","$5,438,770","$5,887,037","$6,638,276"
New South Wales,Campbelltown City Council,Total Early Payment,"$4,917,671","$5,156,391","$5,058,232","$5,245,513","$5,160,225","$8,155,372","$11,596,744"
New South Wales,Campbelltown City Council,Total Financial Assistance Grant (inc Early Payment),"$9,935,035","$10,034,838","$10,008,897","$10,066,362","$10,467,011","$10,854,522","$11,814,144"
New South Wales,Canterbury-Bankstown Council,Total Early Payment,"$5,794,342","$5,617,549","$5,519,493","$5,673,428","$5,623,007","$8,797,865","$12,634,708"
New South Wales,Canterbury-Bankstown Council,Total Financial Assistance Grant (inc Early Payment),"$10,822,563","$10,940,536","$10,873,106","$10,925,345","$11,346,295","$11,824,183","$13,084,107"
New South Wales,Carrathool Shire Council,Total Early Payment,"$2,755,183","$2,890,333","$3,047,074","$3,249,113","$3,287,003","$5,379,335","$7,874,497"
New South Wales,Carrathool Shire Council,Total Financial Assistance Grant (inc Early Payment),"$5,570,130","$5,828,547","$6,111,920","$6,317,782","$6,784,551","$7,362,083","$8,364,785"
New South Wales,Central Coast Council (NSW),Total Early Payment,"$12,473,852","$13,064,328","$13,086,515","$13,677,956","$13,298,934","$21,276,590","$30,474,138"
New South Wales,Central Coast Council (NSW),Total Financial Assistance Grant (inc Early Payment),"$25,171,609","$25,685,799","$25,996,251","$26,102,705","$27,145,036","$28,516,219","$31,690,602"
New South Wales,Central Darling Shire Council,Total Early Payment,"$2,555,120","$2,681,079","$2,837,418","$3,086,967","$3,121,123","$5,191,310","$7,592,805"
New South Wales,Central Darling Shire Council,Total Financial Assistance Grant (inc Early Payment),"$5,166,372","$5,417,383","$5,750,152","$6,001,896","$6,498,100","$7,098,598","$8,145,373"
New South Wales,Cessnock City Council,Total Early Payment,"$3,481,852","$3,643,382","$3,684,592","$3,866,203","$3,752,798","$6,114,730","$8,716,714"
New South Wales,Cessnock City Council,Total Financial Assistance Grant (inc Early Payment),"$7,020,267","$7,196,828","$7,332,944","$7,371,476","$7,730,573","$8,155,223","$9,162,487"
New South Wales,City of Canada Bay Council,Total Early Payment,"$1,223,646","$1,272,174","$1,365,503","$1,354,477","$1,408,284","$2,135,617","$3,158,737"
New South Wales,City of Canada Bay Council,Total Financial Assistance Grant (inc Early Payment),"$2,451,301","$2,589,068","$2,643,633","$2,669,851","$2,797,613","$2,955,288","$3,185,611"
New South Wales,City of Lithgow Council,Total Early Payment,"$2,273,888","$2,317,501","$2,470,591","$2,536,103","$2,533,738","$4,098,745","$6,012,779"
New South Wales,City of Lithgow Council,Total Financial Assistance Grant (inc Early Payment),"$4,465,408","$4,700,101","$4,863,621","$4,902,499","$5,199,986","$5,622,559","$6,329,335"
New South Wales,City of Parramatta Council,Total Early Payment,"$4,770,335","$4,830,837","$4,745,011","$4,834,353","$4,824,769","$7,486,031","$10,739,328"
New South Wales,City of Parramatta Council,Total Financial Assistance Grant (inc Early Payment),"$9,306,619","$9,407,025","$9,307,280","$9,341,176","$9,695,462","$10,051,868","$10,923,978"
New South Wales,Clarence Valley Council,Total Early Payment,"$5,263,163","$5,519,226","$5,553,006","$5,836,970","$5,681,313","$9,137,980","$13,119,211"
New South Wales,Clarence Valley Council,Total Financial Assistance Grant (inc Early Payment),"$10,635,412","$10,874,292","$11,060,120","$11,142,370","$11,624,330","$12,273,349","$13,693,597"
New South Wales,Cobar Shire Council,Total Early Payment,"$2,712,628","$2,846,353","$2,980,054","$3,139,932","$3,172,564","$5,129,645","$7,510,062"
New South Wales,Cobar Shire Council,Total Financial Assistance Grant (inc Early Payment),"$5,484,881","$5,720,186","$5,942,616","$6,102,716","$6,509,054","$7,022,845","$7,965,351"
New South Wales,Coffs Harbour City Council,Total Early Payment,"$3,588,942","$3,767,276","$3,830,286","$3,981,914","$3,925,268","$6,223,126","$8,995,594"
New South Wales,Coffs Harbour City Council,Total Financial Assistance Grant (inc Early Payment),"$7,259,372","$7,461,029","$7,587,263","$7,647,409","$7,972,701","$8,415,575","$9,399,789"
New South Wales,Coolamon Shire Council,Total Early Payment,"$1,683,001","$1,766,160","$1,905,806","$1,950,938","$2,063,337","$3,159,565","$4,762,788"
New South Wales,Coolamon Shire Council,Total Financial Assistance Grant (inc Early Payment),"$3,403,506","$3,603,979","$3,746,324","$3,877,416","$4,117,999","$4,453,349","$5,016,146"
New South Wales,Coonamble Shire Council,Total Early Payment,"$1,841,914","$1,931,436","$2,145,046","$2,189,601","$2,302,138","$3,625,757","$5,446,486"
New South Wales,Coonamble Shire Council,Total Financial Assistance Grant (inc Early Payment),"$3,722,128","$3,999,918","$4,210,577","$4,339,102","$4,659,780","$5,091,551","$5,996,921"
New South Wales,Cootamundra-Gundagai Regional Council,Total Early Payment,"$2,422,943","$2,541,478","$2,710,541","$2,801,219","$2,801,975","$4,488,347","$6,595,595"
New South Wales,Cootamundra-Gundagai Regional Council,Total Financial Assistance Grant (inc Early Payment),"$4,897,416","$5,155,405","$5,353,486","$5,417,840","$5,721,195","$6,167,773","$6,941,293"
New South Wales,Council of the City of Broken Hill,Total Early Payment,"$2,172,499","$2,277,481","$2,499,275","$2,593,322","$2,639,105","$4,282,050","$6,366,671"
New South Wales,Council of the City of Broken Hill,Total Financial Assistance Grant (inc Early Payment),"$4,387,884","$4,688,101","$4,947,406","$5,059,667","$5,426,736","$5,952,858","$6,831,077"
New South Wales,Council of the City of Ryde,Total Early Payment,"$1,658,068","$1,726,589","$1,869,844","$1,861,633","$1,994,586","$2,987,806","$4,465,440"
New South Wales,Council of the City of Ryde,Total Financial Assistance Grant (inc Early Payment),"$3,326,967","$3,529,841","$3,626,457","$3,724,540","$3,938,154","$4,177,359","$4,630,032"
New South Wales,Council of the City of Shellharbour,Total Early Payment,"$2,502,400","$2,626,096","$2,644,460","$2,782,129","$2,714,655","$4,287,794","$6,224,227"
New South Wales,Council of the City of Shellharbour,Total Financial Assistance Grant (inc Early Payment),"$5,059,814","$5,176,572","$5,270,258","$5,318,223","$5,504,980","$5,823,012","$6,561,142"
New South Wales,Council of the Municipality of Woollahra,Total Early Payment,"$828,174","$854,399","$833,817","$891,265","$852,664","$1,397,274","$1,972,866"
New South Wales,Council of the Municipality of Woollahra,Total Financial Assistance Grant (inc Early Payment),"$1,646,303","$1,658,519","$1,674,815","$1,687,615","$1,761,607","$1,846,100","$1,986,691"
New South Wales,Cowra Shire Council,Total Early Payment,"$2,171,015","$2,248,178","$2,428,994","$2,474,471","$2,517,946","$4,012,019","$5,943,657"
New South Wales,Cowra Shire Council,Total Financial Assistance Grant (inc Early Payment),"$4,332,182","$4,590,569","$4,763,573","$4,825,744","$5,127,255","$5,557,425","$6,282,246"
New South Wales,Cumberland Council,Total Early Payment,"$4,313,191","$3,861,593","$4,385,062","$3,960,114","$4,501,879","$6,106,699","$9,382,878"
New South Wales,Cumberland Council,Total Financial Assistance Grant (inc Early Payment),"$7,439,397","$8,090,739","$8,121,998","$8,165,731","$8,474,562","$8,782,366","$9,598,644"
New South Wales,Dubbo Regional Council,Total Early Payment,"$5,465,951","$5,769,388","$5,848,099","$6,038,237","$6,031,862","$9,446,716","$13,742,014"
New South Wales,Dubbo Regional Council,Total Financial Assistance Grant (inc Early Payment),"$11,117,405","$11,409,018","$11,545,307","$11,670,820","$12,176,031","$12,855,982","$14,338,089"
New South Wales,Dungog Shire Council,Total Early Payment,"$1,208,583","$1,267,848","$1,356,590","$1,400,552","$1,404,795","$2,349,390","$3,397,295"
New South Wales,Dungog Shire Council,Total Financial Assistance Grant (inc Early Payment),"$2,443,256","$2,576,026","$2,677,806","$2,712,179","$2,932,545","$3,176,485","$3,593,127"
New South Wales,Edward River Council,Total Early Payment,"$2,550,522","$2,675,287","$2,859,685","$2,944,332","$2,992,342","$4,722,095","$6,972,901"
New South Wales,Edward River Council,Total Financial Assistance Grant (inc Early Payment),"$5,155,156","$5,433,095","$5,637,847","$5,738,968","$6,063,934","$6,521,042","$7,305,980"
New South Wales,Eurobodalla Shire Council,Total Early Payment,"$3,348,520","$3,513,846","$3,569,812","$3,752,200","$3,668,943","$5,908,903","$8,550,894"
New South Wales,Eurobodalla Shire Council,Total Financial Assistance Grant (inc Early Payment),"$6,770,692","$6,956,597","$7,110,631","$7,179,133","$7,513,155","$7,998,655","$9,016,328"
New South Wales,Fairfield City Council,Total Early Payment,"$4,902,744","$4,731,272","$4,618,986","$4,754,548","$4,700,711","$7,345,282","$10,485,263"
New South Wales,Fairfield City Council,Total Financial Assistance Grant (inc Early Payment),"$9,114,534","$9,186,044","$9,106,233","$9,145,975","$9,480,387","$9,814,682","$10,654,165"
New South Wales,Federation Council,Total Early Payment,"$3,220,587","$3,378,407","$3,509,311","$3,715,758","$3,620,307","$5,890,357","$8,500,916"
New South Wales,Federation Council,Total Financial Assistance Grant (inc Early Payment),"$6,510,294","$6,762,547","$7,014,923","$7,096,215","$7,450,926","$7,950,805","$8,885,552"
New South Wales,Forbes Shire Council,Total Early Payment,"$2,491,147","$2,615,671","$2,827,944","$2,888,146","$2,936,088","$4,662,859","$6,921,472"
New South Wales,Forbes Shire Council,Total Financial Assistance Grant (inc Early Payment),"$5,040,676","$5,342,677","$5,552,448","$5,629,449","$5,967,993","$6,471,321","$7,276,453"
New South Wales,Georges River Council,Total Early Payment,"$2,063,229","$2,131,272","$2,319,539","$2,289,863","$2,349,547","$3,613,550","$5,309,388"
New South Wales,Georges River Council,Total Financial Assistance Grant (inc Early Payment),"$4,106,658","$4,368,224","$4,480,218","$4,484,412","$4,700,133","$4,967,318","$5,402,700"
New South Wales,Gilgandra Council,Total Early Payment,"$1,787,643","$1,871,223","$2,045,788","$2,051,489","$2,185,733","$3,361,254","$5,080,503"
New South Wales,Gilgandra Council,Total Financial Assistance Grant (inc Early Payment),"$3,606,042","$3,843,996","$3,981,164","$4,092,301","$4,371,604","$4,750,004","$5,374,075"
New South Wales,Glen Innes Severn Council,Total Early Payment,"$1,920,835","$2,015,682","$2,181,640","$2,232,533","$2,261,178","$3,657,967","$5,369,564"
New South Wales,Glen Innes Severn Council,Total Financial Assistance Grant (inc Early Payment),"$3,884,336","$4,119,501","$4,287,842","$4,343,925","$4,640,018","$5,020,968","$5,699,986"
New South Wales,Goulburn Mulwaree Council,Total Early Payment,"$2,386,761","$2,504,322","$2,631,643","$2,723,647","$2,725,817","$4,448,818","$6,486,671"
