Jurisdiction,LGA,Year,Total Early Payment,Total Financial Assistance Grant (inc Early Payment),,,
Australian Capital Territory,Australian Capital Territory,2017-18,"$25,112,275","$51,021,719",,,
Australian Capital Territory,Australian Capital Territory,2018-19,"$26,309,919","$52,745,664",,,
Australian Capital Territory,Australian Capital Territory,2019-20,"$27,458,262","$54,143,193",,,
Australian Capital Territory,Australian Capital Territory,2020-21,"$28,422,745","$54,858,794",,,
Australian Capital Territory,Australian Capital Territory,2021-22,"$28,475,710","$57,908,724",,,
Australian Capital Territory,Australian Capital Territory,2022-23,"$45,410,558","$64,761,763",,,
Australian Capital Territory,Australian Capital Territory,2023-24,"$68,445,630","$71,474,638",,,
New South Wales,Albury City Council,2017-18,"$3,073,843","$6,225,730",,,
New South Wales,Albury City Council,2018-19,"$3,231,082","$6,373,237",,,
New South Wales,Albury City Council,2019-20,"$3,257,907","$6,478,515",,,
New South Wales,Albury City Council,2020-21,"$3,412,754","$6,539,923",,,
New South Wales,Albury City Council,2021-22,"$3,347,894","$6,816,667",,,
New South Wales,Albury City Council,2022-23,"$5,331,641","$7,185,000",,,
New South Wales,Albury City Council,2023-24,"$7,679,418","$8,007,428",,,
New South Wales,Armidale Regional Council,2017-18,"$3,125,224","$6,298,462",,,
New South Wales,Armidale Regional Council,2018-19,"$3,268,343","$6,615,950",,,
New South Wales,Armidale Regional Council,2019-20,"$3,471,546","$6,815,469",,,
New South Wales,Armidale Regional Council,2020-21,"$3,544,843","$6,878,183",,,
New South Wales,Armidale Regional Council,2021-22,"$3,570,367","$7,120,369",,,
New South Wales,Armidale Regional Council,2022-23,"$5,459,342","$7,674,269",,,
New South Wales,Armidale Regional Council,2023-24,"$8,207,066","$8,640,551",,,
New South Wales,Ballina Shire Council,2017-18,"$2,107,840","$4,279,185",,,
New South Wales,Ballina Shire Council,2018-19,"$2,220,654","$4,476,114",,,
New South Wales,Ballina Shire Council,2019-20,"$2,338,858","$4,619,994",,,
New South Wales,Ballina Shire Council,2020-21,"$2,417,841","$4,666,984",,,
New South Wales,Ballina Shire Council,2021-22,"$2,408,658","$4,927,911",,,
New South Wales,Ballina Shire Council,2022-23,"$3,873,748","$5,301,929",,,
New South Wales,Ballina Shire Council,2023-24,"$5,669,796","$5,971,957",,,
New South Wales,Balranald Shire Council,2017-18,"$1,870,657","$3,781,545",,,
New South Wales,Balranald Shire Council,2018-19,"$1,962,352","$3,979,863",,,
New South Wales,Balranald Shire Council,2019-20,"$2,092,135","$4,210,048",,,
New South Wales,Balranald Shire Council,2020-21,"$2,244,847","$4,383,836",,,
New South Wales,Balranald Shire Council,2021-22,"$2,290,600","$4,721,429",,,
New South Wales,Balranald Shire Council,2022-23,"$3,737,513","$5,139,784",,,
New South Wales,Balranald Shire Council,2023-24,"$5,497,453","$5,872,881",,,
New South Wales,Bathurst Regional Council,2017-18,"$3,059,719","$6,209,128",,,
New South Wales,Bathurst Regional Council,2018-19,"$3,222,191","$6,365,039",,,
New South Wales,Bathurst Regional Council,2019-20,"$3,259,062","$6,466,214",,,
New South Wales,Bathurst Regional Council,2020-21,"$3,399,339","$6,517,048",,,
New South Wales,Bathurst Regional Council,2021-22,"$3,338,837","$6,803,531",,,
New South Wales,Bathurst Regional Council,2022-23,"$5,327,564","$7,251,421",,,
New South Wales,Bathurst Regional Council,2023-24,"$7,753,470","$8,086,931",,,
New South Wales,Bayside Council,2017-18,"$2,960,147","$4,380,118",,,
New South Wales,Bayside Council,2018-19,"$2,273,150","$4,705,352",,,
New South Wales,Bayside Council,2019-20,"$2,521,979","$4,821,452",,,
New South Wales,Bayside Council,2020-21,"$2,436,776","$4,927,321",,,
New South Wales,Bayside Council,2021-22,"$2,666,444","$5,233,798",,,
New South Wales,Bayside Council,2022-23,"$3,946,335","$5,587,897",,,
New South Wales,Bayside Council,2023-24,"$5,973,995","$6,143,364",,,
New South Wales,Bega Valley Shire Council,2017-18,"$3,415,718","$6,812,107",,,
New South Wales,Bega Valley Shire Council,2018-19,"$3,535,287","$7,032,366",,,
New South Wales,Bega Valley Shire Council,2019-20,"$3,626,261","$7,199,275",,,
New South Wales,Bega Valley Shire Council,2020-21,"$3,786,716","$7,273,997",,,
New South Wales,Bega Valley Shire Council,2021-22,"$3,733,998","$7,728,807",,,
New South Wales,Bega Valley Shire Council,2022-23,"$6,141,913","$8,286,534",,,
New South Wales,Bega Valley Shire Council,2023-24,"$8,860,461","$9,412,362",,,
New South Wales,Bellingen Shire Council,2017-18,"$1,726,108","$3,520,024",,,
New South Wales,Bellingen Shire Council,2018-19,"$1,826,779","$3,719,364",,,
New South Wales,Bellingen Shire Council,2019-20,"$1,962,448","$3,872,207",,,
New South Wales,Bellingen Shire Council,2020-21,"$2,023,857","$3,911,764",,,
New South Wales,Bellingen Shire Council,2021-22,"$2,021,222","$4,180,895",,,
New South Wales,Bellingen Shire Council,2022-23,"$3,319,608","$4,571,101",,,
New South Wales,Bellingen Shire Council,2023-24,"$4,889,637","$5,192,887",,,
New South Wales,Berrigan Shire Council,2017-18,"$2,197,554","$4,452,014",,,
New South Wales,Berrigan Shire Council,2018-19,"$2,310,362","$4,700,415",,,
New South Wales,Berrigan Shire Council,2019-20,"$2,478,380","$4,892,012",,,
New South Wales,Berrigan Shire Council,2020-21,"$2,558,112","$4,959,439",,,
New South Wales,Berrigan Shire Council,2021-22,"$2,571,387","$5,247,181",,,
New South Wales,Berrigan Shire Council,2022-23,"$4,113,906","$5,672,696",,,
New South Wales,Berrigan Shire Council,2023-24,"$6,066,542","$6,386,220",,,
New South Wales,Blacktown City Council,2017-18,"$8,836,987","$16,493,326",,,
New South Wales,Blacktown City Council,2018-19,"$8,561,419","$16,897,484",,,
New South Wales,Blacktown City Council,2019-20,"$8,643,463","$16,825,585",,,
New South Wales,Blacktown City Council,2020-21,"$8,670,005","$16,968,890",,,
New South Wales,Blacktown City Council,2021-22,"$8,884,034","$17,653,043",,,
New South Wales,Blacktown City Council,2022-23,"$13,477,598","$18,372,212",,,
New South Wales,Blacktown City Council,2023-24,"$19,631,053","$20,121,992",,,
New South Wales,Bland Shire Council,2017-18,"$3,575,399","$7,226,917",,,
New South Wales,Bland Shire Council,2018-19,"$3,750,057","$7,501,613",,,
New South Wales,Bland Shire Council,2019-20,"$3,890,531","$7,757,089",,,
New South Wales,Bland Shire Council,2020-21,"$4,099,090","$7,933,362",,,
New South Wales,Bland Shire Council,2021-22,"$4,107,116","$8,493,176",,,
New South Wales,Bland Shire Council,2022-23,"$6,746,612","$9,125,378",,,
New South Wales,Bland Shire Council,2023-24,"$9,758,657","$10,284,276",,,
New South Wales,Blayney Shire Council,2017-18,"$1,229,306","$2,486,349",,,
New South Wales,Blayney Shire Council,2018-19,"$1,290,249","$2,636,367",,,
New South Wales,Blayney Shire Council,2019-20,"$1,395,898","$2,732,895",,,
New South Wales,Blayney Shire Council,2020-21,"$1,417,132","$2,772,721",,,
New South Wales,Blayney Shire Council,2021-22,"$1,451,745","$2,989,214",,,
New South Wales,Blayney Shire Council,2022-23,"$2,363,969","$3,236,080",,,
New South Wales,Blayney Shire Council,2023-24,"$3,460,854","$3,662,775",,,
New South Wales,Blue Mountains City Council,2017-18,"$4,280,346","$8,638,528",,,
New South Wales,Blue Mountains City Council,2018-19,"$4,483,545","$8,809,289",,,
New South Wales,Blue Mountains City Council,2019-20,"$4,485,068","$8,907,139",,,
New South Wales,Blue Mountains City Council,2020-21,"$4,685,010","$8,930,057",,,
New South Wales,Blue Mountains City Council,2021-22,"$4,543,428","$9,267,075",,,
New South Wales,Blue Mountains City Council,2022-23,"$7,257,938","$9,718,195",,,
New South Wales,Blue Mountains City Council,2023-24,"$10,384,727","$10,795,518",,,
New South Wales,Bogan Shire Council,2017-18,"$1,899,415","$3,849,305",,,
New South Wales,Bogan Shire Council,2018-19,"$1,997,467","$4,060,760",,,
New South Wales,Bogan Shire Council,2019-20,"$2,139,652","$4,266,501",,,
New South Wales,Bogan Shire Council,2020-21,"$2,254,500","$4,419,733",,,
New South Wales,Bogan Shire Council,2021-22,"$2,318,903","$4,768,772",,,
New South Wales,Bogan Shire Council,2022-23,"$3,767,262","$5,201,462",,,
New South Wales,Bogan Shire Council,2023-24,"$5,563,766","$5,951,240",,,
New South Wales,Bourke Shire Council,2017-18,"$2,727,607","$5,513,877",,,
New South Wales,Bourke Shire Council,2018-19,"$2,861,321","$5,781,422",,,
New South Wales,Bourke Shire Council,2019-20,"$3,028,105","$6,121,802",,,
New South Wales,Bourke Shire Council,2020-21,"$3,279,065","$6,383,724",,,
New South Wales,Bourke Shire Council,2021-22,"$3,324,690","$6,899,256",,,
